Pairs,IBS
CIRAD390_MR09CravoRiogranenseS6,0.8589
CL17_CL18,0.9867
CL18_CL17,0.9867
CL19_CL22,0.8924
CL20_CM48,0.8954
CL22_CL19,0.8924
CL27_CL19,0.8816
CM105_CM169,0.9911
CM145_WXWF9,0.8965
CM151_WXB14,0.9183
CM155_B14,0.9334
CM169_CM174,0.9947
CM174_CM169,0.9947
CM182_B8,0.9458
CM234_B8,0.929
CM37_CM48,0.9553
CM48_CM37,0.9553
CM7_S99,0.8775
CM99_CM169,0.9915
CML10_CML11,0.9865
CML101_CML91,0.8632
CML103_CML91,0.8748
CML107_CML101,0.8626
CML108_CML78,0.9931
CML11_CML10,0.9865
CML115_CML116,0.8714
CML116_CML115,0.8714
CML118_Hi50,0.8874
CML121_Mp716,0.9326
CML139_Mp716,0.9171
CML14_CML17,0.967
CML142_CML144,0.8649
CML144_CML491,0.9633
CML154Q_CML158Q,0.8726
CML157Q_CML492,0.8782
CML158Q_CML154Q,0.8726
CML16_CML14,0.8863
CML17_CML14,0.967
CML172_CML261,0.8569
CML176_CML311,0.9959
CML184_B73,0.86
CML19_CML287,0.9102
CML195_CML215,0.9491
CML196_87036,0.8622
CML197_CML213,0.961
CML198_CML233,0.8582
CML199_CML206,0.9476
CML20_CML285,0.9234
CML200_89291,0.8832
CML201_89291,0.87
CML204_KS2,0.9957
CML206_CML199,0.9476
CML210_CML233,0.8614
CML211_CML213,0.9656
CML212_C70,0.86
CML213_CML211,0.9656
CML214_M131,0.9918
CML215_CML214,0.9836
CML217_A6,0.8637
CML218_CML220,0.8663
CML219_CML220,0.94
CML22_CML269,0.8689
CML220_CML219,0.94
CML223_CML226,0.8941
CML224_CML223,0.8894
CML225_CML228,0.8866
CML226_CML223,0.8941
CML227_CML481,0.8925
CML228_CML223,0.894
CML229_CML227,0.888
CML230_CML231,0.9024
CML231_CML230,0.9024
CML233_CML416,0.8809
CML234_CML416,0.8808
CML235_B73,0.8612
CML236_CML36,0.8792
CML238_CML236,0.8696
CML242_CML456,0.892
CML246_B73,0.8544
CML247_CML43,0.8608
CML25_CML283,0.9073
CML254_CML476,0.8697
CML255_CML448,0.9127
CML258_CML6,0.9778
CML261_CML255,0.8727
CML263_CML10,0.9363
